,vazao,chuva_media,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,Ks,p,KL,Nash
21,0.00000000000000000000,3.28299999999999991829,5.08399999999999963052,3.283,0.0,1.8009999999999997,0.0,0.0,0.9581491066262022,0.002038524327511216,0.24684108079378694,0.7113080258324153,7.059026173073152e-07,0.0020378184248939085,3.946048741899434e-06,0.0,0.0,0.0,6.080908528363955e-07,0.7113080258324153,0,0,0,0.0020378184248939085,,,,
22,0.00000000000000000000,7.32899999999999973710,5.08399999999999963052,5.084,2.245,0.0,0,0.0020084322067321914,0.7113080258324153,0.0040462506316261,0.0,0.7113080258324153,2.2129567603467216e-06,0.004044037674865753,1.3720276475712847e-05,2.242991567793268,2.242991567793268,0.0,1.8728686015592177e-06,2.954299593625683,0,0,0,0.004044037674865753,,,,
23,0.00000000000000000000,18.94699999999999917577,5.08399999999999963052,5.084,13.863,0.0,0,0.3635611206829594,2.954299593625683,0.3676051583578252,0.0,2.954299593625683,0.004063069864090981,0.3635420884937342,0.04044104333637508,13.49943887931704,13.49943887931704,0.0,0.0030606469178726995,16.453738472942725,0,0,0,0.3635420884937342,,,,
24,0.00000000000000000000,11.30000000000000071054,5.08399999999999963052,5.084,6.216000000000001,0.0,0,0.5526517888835656,16.453738472942725,0.9161938773772997,0.0,16.453738472942725,0.018615038437299055,0.8975788389400007,0.19846743448331475,5.6633482111164355,5.6633482111164355,0.0,0.013695573112224165,22.11708668405916,0,0,0,0.8975788389400007,,,,
25,0.00000000000000000000,12.43900000000000005684,5.08399999999999963052,5.084,7.355,0.0,0,1.1182751628407788,22.11708668405916,2.0158540017807796,0.0,22.11708668405916,0.06928673352641912,1.9465672682543604,0.780171285462007,6.236724837159222,6.236724837159222,0.0,0.049948419427477554,28.353811521218383,0,0,0,1.9465672682543604,,,,
26,1.91100000000000003197,21.96999999999999886313,5.08399999999999963052,5.084,16.886,0.0,0,4.846986270300214,28.353811521218383,6.7935535385545744,0.0,28.353811521218383,0.5248638150199959,6.268689723534578,6.381506477156259,12.039013729699786,12.039013729699786,0.0,0.36668370895957164,40.392825250918165,0,0,0,6.268689723534578,,,,
27,0.16000000000000000333,5.87299999999999933209,5.08399999999999963052,5.084,0.7889999999999997,0.0,0,0.3083397007396368,40.392825250918165,6.577029424274215,0.0,40.392825250918165,0.49728031772866393,6.079749106545552,6.034405726392524,0.4806602992603629,0.4806602992603629,0.0,0.34770389071581265,40.87348555017853,0,0,0,6.079749106545552,,,,
28,2.72100000000000008527,12.29499999999999992895,5.08399999999999963052,5.084,7.211,0.0,0,3.1512151110696305,40.87348555017853,9.230964217615181,0.0,40.87348555017853,0.8749100557982288,8.356054161816953,10.831989172936979,4.05978488893037,4.05978488893037,0.0,0.6064146460773457,44.933270439108895,0,0,0,8.356054161816953,,,,
29,1.91100000000000003197,13.77400000000000090949,5.08399999999999963052,5.084,8.690000000000001,0.0,0,4.55904709404905,44.933270439108895,12.915101255866002,0.0,44.933270439108895,1.5312566510800223,11.38384460478598,19.32777392431075,4.130952905950951,4.130952905950951,0.0,1.052173954822733,49.064223345059844,0,0,0,11.38384460478598,,,,
30,2.95399999999999973710,4.89499999999999957367,5.08399999999999963052,4.895,0.0,0.18900000000000006,0.0,0.0,49.064223345059844,11.38384460478598,0.1889004001915939,48.87532294486825,1.2407945968435183,10.143050007942461,15.549224465996625,0.0,0.0,0.0,0.8553718155624543,48.87532294486825,0,0,0,10.143050007942461,,,,
