Tamanho,Combo,Rodada,Iteracao,Gbest_NSE
50,w0.5_c1.5_c1.5,7,6,0.7277193069458008
50,w0.5_c1.5_c1.5,7,7,0.7278342247009277
50,w0.5_c1.5_c1.5,7,8,0.7278342247009277
50,w0.5_c1.5_c1.5,7,9,0.7278342247009277
50,w0.5_c1.5_c1.5,7,10,0.7278342247009277
50,w0.5_c1.5_c1.5,7,11,0.7278438806533813
50,w0.5_c1.5_c1.5,7,12,0.7278438806533813
50,w0.5_c1.5_c1.5,7,13,0.7278438806533813
50,w0.5_c1.5_c1.5,7,14,0.7278438806533813
50,w0.5_c1.5_c1.5,7,15,0.7278441190719604
50,w0.5_c1.5_c1.5,7,16,0.7278443574905396
50,w0.5_c1.5_c1.5,7,17,0.7278443574905396
50,w0.5_c1.5_c1.5,7,18,0.7278443574905396
50,w0.5_c1.5_c1.5,7,19,0.7278443574905396
50,w0.5_c1.5_c1.5,7,20,0.7278443574905396
50,w0.5_c1.5_c1.5,8,1,0.7001050114631653
50,w0.5_c1.5_c1.5,8,2,0.7254376411437988
50,w0.5_c1.5_c1.5,8,3,0.7270334362983704
50,w0.5_c1.5_c1.5,8,4,0.7270334362983704
50,w0.5_c1.5_c1.5,8,5,0.7270334362983704
50,w0.5_c1.5_c1.5,8,6,0.7270334362983704
50,w0.5_c1.5_c1.5,8,7,0.727461576461792
50,w0.5_c1.5_c1.5,8,8,0.72782301902771
50,w0.5_c1.5_c1.5,8,9,0.72782301902771
50,w0.5_c1.5_c1.5,8,10,0.72782301902771
50,w0.5_c1.5_c1.5,8,11,0.7278327941894531
50,w0.5_c1.5_c1.5,8,12,0.727833092212677
50,w0.5_c1.5_c1.5,8,13,0.727833092212677
50,w0.5_c1.5_c1.5,8,14,0.7278438806533813
50,w0.5_c1.5_c1.5,8,15,0.7278438806533813
50,w0.5_c1.5_c1.5,8,16,0.7278438806533813
50,w0.5_c1.5_c1.5,8,17,0.7278442978858948
50,w0.5_c1.5_c1.5,8,18,0.7278442978858948
50,w0.5_c1.5_c1.5,8,19,0.7278443574905396
50,w0.5_c1.5_c1.5,8,20,0.7278443574905396
50,w0.6_c2.0_c1.0,1,1,0.7116677761077881
50,w0.6_c2.0_c1.0,1,2,0.7116677761077881
50,w0.6_c2.0_c1.0,1,3,0.7271212339401245
50,w0.6_c2.0_c1.0,1,4,0.7271212339401245
50,w0.6_c2.0_c1.0,1,5,0.7277947664260864
50,w0.6_c2.0_c1.0,1,6,0.7277947664260864
50,w0.6_c2.0_c1.0,1,7,0.7277947664260864
50,w0.6_c2.0_c1.0,1,8,0.7277947664260864
50,w0.6_c2.0_c1.0,1,9,0.7277947664260864
50,w0.6_c2.0_c1.0,1,10,0.7278201580047607
50,w0.6_c2.0_c1.0,1,11,0.7278405427932739
50,w0.6_c2.0_c1.0,1,12,0.7278405427932739
50,w0.6_c2.0_c1.0,1,13,0.727841854095459
50,w0.6_c2.0_c1.0,1,14,0.727841854095459
50,w0.6_c2.0_c1.0,1,15,0.7278419137001038
50,w0.6_c2.0_c1.0,1,16,0.7278419137001038
50,w0.6_c2.0_c1.0,1,17,0.7278419137001038
50,w0.6_c2.0_c1.0,1,18,0.7278426885604858
50,w0.6_c2.0_c1.0,1,19,0.72784423828125
50,w0.6_c2.0_c1.0,1,20,0.72784423828125
50,w0.6_c2.0_c1.0,2,1,0.7132092714309692
50,w0.6_c2.0_c1.0,2,2,0.7132092714309692
50,w0.6_c2.0_c1.0,2,3,0.72040855884552
50,w0.6_c2.0_c1.0,2,4,0.7205872535705566
50,w0.6_c2.0_c1.0,2,5,0.7226889133453369
50,w0.6_c2.0_c1.0,2,6,0.724360466003418
50,w0.6_c2.0_c1.0,2,7,0.7248262763023376
50,w0.6_c2.0_c1.0,2,8,0.7248262763023376
50,w0.6_c2.0_c1.0,2,9,0.7271442413330078
50,w0.6_c2.0_c1.0,2,10,0.7276241779327393
50,w0.6_c2.0_c1.0,2,11,0.7276241779327393
50,w0.6_c2.0_c1.0,2,12,0.7277562022209167
50,w0.6_c2.0_c1.0,2,13,0.7278124094009399
50,w0.6_c2.0_c1.0,2,14,0.7278124094009399
50,w0.6_c2.0_c1.0,2,15,0.7278124094009399
50,w0.6_c2.0_c1.0,2,16,0.7278386354446411
50,w0.6_c2.0_c1.0,2,17,0.7278386354446411
50,w0.6_c2.0_c1.0,2,18,0.7278386354446411
50,w0.6_c2.0_c1.0,2,19,0.7278410792350769
50,w0.6_c2.0_c1.0,2,20,0.7278413772583008
50,w0.6_c2.0_c1.0,3,1,0.5921065807342529
50,w0.6_c2.0_c1.0,3,2,0.6452462673187256
50,w0.6_c2.0_c1.0,3,3,0.7070950865745544
50,w0.6_c2.0_c1.0,3,4,0.7131432890892029
50,w0.6_c2.0_c1.0,3,5,0.7265495657920837
50,w0.6_c2.0_c1.0,3,6,0.7265495657920837
50,w0.6_c2.0_c1.0,3,7,0.7276291847229004
50,w0.6_c2.0_c1.0,3,8,0.7276291847229004
50,w0.6_c2.0_c1.0,3,9,0.727803111076355
50,w0.6_c2.0_c1.0,3,10,0.727803111076355
50,w0.6_c2.0_c1.0,3,11,0.727816104888916
50,w0.6_c2.0_c1.0,3,12,0.727816104888916
50,w0.6_c2.0_c1.0,3,13,0.727816104888916
50,w0.6_c2.0_c1.0,3,14,0.727827250957489
50,w0.6_c2.0_c1.0,3,15,0.727827250957489
50,w0.6_c2.0_c1.0,3,16,0.7278410792350769
50,w0.6_c2.0_c1.0,3,17,0.7278410792350769
50,w0.6_c2.0_c1.0,3,18,0.7278429269790649
50,w0.6_c2.0_c1.0,3,19,0.7278434038162231
50,w0.6_c2.0_c1.0,3,20,0.7278434038162231
50,w0.6_c2.0_c1.0,4,1,0.6757010221481323
50,w0.6_c2.0_c1.0,4,2,0.7203975915908813
50,w0.6_c2.0_c1.0,4,3,0.7203975915908813
50,w0.6_c2.0_c1.0,4,4,0.7277674674987793
50,w0.6_c2.0_c1.0,4,5,0.7277674674987793
50,w0.6_c2.0_c1.0,4,6,0.7278023362159729
50,w0.6_c2.0_c1.0,4,7,0.7278023362159729
50,w0.6_c2.0_c1.0,4,8,0.7278023362159729
50,w0.6_c2.0_c1.0,4,9,0.7278023362159729
50,w0.6_c2.0_c1.0,4,10,0.7278023362159729
50,w0.6_c2.0_c1.0,4,11,0.7278023362159729
50,w0.6_c2.0_c1.0,4,12,0.7278133034706116
50,w0.6_c2.0_c1.0,4,13,0.7278343439102173
50,w0.6_c2.0_c1.0,4,14,0.7278424501419067
50,w0.6_c2.0_c1.0,4,15,0.7278424501419067
50,w0.6_c2.0_c1.0,4,16,0.7278424501419067
50,w0.6_c2.0_c1.0,4,17,0.7278424501419067
50,w0.6_c2.0_c1.0,4,18,0.7278424501419067
50,w0.6_c2.0_c1.0,4,19,0.7278430461883545
50,w0.6_c2.0_c1.0,4,20,0.7278435230255127
50,w0.6_c2.0_c1.0,5,1,0.7147777080535889
50,w0.6_c2.0_c1.0,5,2,0.7218602895736694
50,w0.6_c2.0_c1.0,5,3,0.7250776290893555
50,w0.6_c2.0_c1.0,5,4,0.7250776290893555
50,w0.6_c2.0_c1.0,5,5,0.7250776290893555
50,w0.6_c2.0_c1.0,5,6,0.7261676788330078
50,w0.6_c2.0_c1.0,5,7,0.7267459630966187
50,w0.6_c2.0_c1.0,5,8,0.7278130054473877
50,w0.6_c2.0_c1.0,5,9,0.7278250455856323
50,w0.6_c2.0_c1.0,5,10,0.7278250455856323
50,w0.6_c2.0_c1.0,5,11,0.7278250455856323
50,w0.6_c2.0_c1.0,5,12,0.7278250455856323
50,w0.6_c2.0_c1.0,5,13,0.7278250455856323
50,w0.6_c2.0_c1.0,5,14,0.727826714515686
50,w0.6_c2.0_c1.0,5,15,0.7278268933296204
50,w0.6_c2.0_c1.0,5,16,0.7278398871421814
50,w0.6_c2.0_c1.0,5,17,0.7278398871421814
50,w0.6_c2.0_c1.0,5,18,0.7278435826301575
50,w0.6_c2.0_c1.0,5,19,0.7278435826301575
50,w0.6_c2.0_c1.0,5,20,0.7278435826301575
50,w0.6_c2.0_c1.0,6,1,0.7086890935897827
50,w0.6_c2.0_c1.0,6,2,0.7245110273361206
50,w0.6_c2.0_c1.0,6,3,0.7275159358978271
50,w0.6_c2.0_c1.0,6,4,0.7275159358978271
50,w0.6_c2.0_c1.0,6,5,0.7275159358978271
50,w0.6_c2.0_c1.0,6,6,0.7275159358978271
50,w0.6_c2.0_c1.0,6,7,0.7275159358978271
50,w0.6_c2.0_c1.0,6,8,0.7275159358978271
50,w0.6_c2.0_c1.0,6,9,0.7275159358978271
50,w0.6_c2.0_c1.0,6,10,0.7278211116790771
50,w0.6_c2.0_c1.0,6,11,0.7278238534927368
50,w0.6_c2.0_c1.0,6,12,0.7278238534927368
50,w0.6_c2.0_c1.0,6,13,0.7278419733047485
50,w0.6_c2.0_c1.0,6,14,0.7278419733047485
50,w0.6_c2.0_c1.0,6,15,0.7278419733047485
50,w0.6_c2.0_c1.0,6,16,0.7278430461883545
50,w0.6_c2.0_c1.0,6,17,0.7278430461883545
50,w0.6_c2.0_c1.0,6,18,0.7278430461883545
50,w0.6_c2.0_c1.0,6,19,0.7278430461883545
50,w0.6_c2.0_c1.0,6,20,0.7278430461883545
50,w0.6_c2.0_c1.0,7,1,0.632402777671814
50,w0.6_c2.0_c1.0,7,2,0.6553902626037598
50,w0.6_c2.0_c1.0,7,3,0.7123913764953613
50,w0.6_c2.0_c1.0,7,4,0.7123913764953613
50,w0.6_c2.0_c1.0,7,5,0.7255773544311523
50,w0.6_c2.0_c1.0,7,6,0.7255773544311523
50,w0.6_c2.0_c1.0,7,7,0.726859450340271
50,w0.6_c2.0_c1.0,7,8,0.7278351187705994
50,w0.6_c2.0_c1.0,7,9,0.7278351187705994
50,w0.6_c2.0_c1.0,7,10,0.7278351187705994
50,w0.6_c2.0_c1.0,7,11,0.7278351187705994
50,w0.6_c2.0_c1.0,7,12,0.7278351187705994
50,w0.6_c2.0_c1.0,7,13,0.7278351187705994
50,w0.6_c2.0_c1.0,7,14,0.7278351187705994
50,w0.6_c2.0_c1.0,7,15,0.7278357744216919
50,w0.6_c2.0_c1.0,7,16,0.7278357744216919
50,w0.6_c2.0_c1.0,7,17,0.7278357744216919
50,w0.6_c2.0_c1.0,7,18,0.7278357744216919
50,w0.6_c2.0_c1.0,7,19,0.7278438806533813
50,w0.6_c2.0_c1.0,7,20,0.7278438806533813
50,w0.6_c2.0_c1.0,8,1,0.6722725629806519
50,w0.6_c2.0_c1.0,8,2,0.689336359500885
50,w0.6_c2.0_c1.0,8,3,0.7143739461898804
50,w0.6_c2.0_c1.0,8,4,0.7264844179153442
50,w0.6_c2.0_c1.0,8,5,0.7264844179153442
