vazao,vazao_calc,chuva_media
4.047,0.28470492,4.204
3.897,0.0,1.406
3.335,0.0,1.328
3.075,0.0,0.346
2.829,0.0,0.822
2.711,0.0,0.295
2.711,0.0,1.11
2.951,0.2646111,9.393
2.829,0.0,0.427
2.711,0.0,0.126
3.203,0.0,2.141
3.203,0.0,2.748
2.951,0.0,1.079
2.829,0.0,0.494
2.597,0.0,1.298
2.597,0.0,0.496
2.597,0.0,0.609
2.486,0.0,1.142
2.378,0.0,1.107
2.378,0.0,0.163
2.171,0.0,0.0
2.171,0.0,1.645
2.273,0.17720073,9.915
2.171,0.8546206,3.608
2.273,0.0,0.689
4.685,0.0,0.155
3.609,0.0,0.04
3.609,0.0,0.123
3.203,0.0,0.013
2.829,0.0,0.005
2.597,0.0,0.0
2.486,0.0,0.797
2.378,0.15062144,3.975
2.273,0.0,0.555
2.171,0.0,0.117
2.072,0.0,0.609
2.171,0.0,0.507
2.072,0.0,0.457
2.072,0.08409226,0.372
2.072,0.25776592,1.247
1.977,0.47259656,0.37
1.977,0.7035607,0.64
1.884,0.9355101,0.982
1.884,1.1543107,0.2
1.884,1.3535655,0.322
1.794,1.52853,0.086
1.794,1.6775329,0.051
1.708,1.8024693,0.61
1.708,1.9058329,1.183
1.624,1.9878465,0.903
1.624,2.0527964,1.933
1.624,2.106417,3.973
1.624,1.2360498,1.322
1.542,1.3331118,0.192
1.542,1.4130505,0.336
1.624,1.4760816,0.0
1.464,1.5240173,0.242
1.388,1.5579047,0.03
1.315,1.578324,0.0
1.388,1.5871111,0.037
1.315,1.5874374,1.269
1.315,1.5801651,1.001
1.315,1.5670608,1.634
1.315,1.5485111,1.078
1.388,1.524641,0.078
1.177,1.4966772,0.334
1.177,1.4652705,0.0
0.93,1.4312279,0.0
0.874,1.3952395,0.0
1.177,1.3578912,0.0
1.245,1.3196954,0.049
1.049,1.2810436,0.0
1.112,1.2423903,0.396
1.112,1.2039183,0.134
1.049,1.1658214,0.0
0.988,1.1283098,0.129
1.049,1.0918115,1.86
1.112,1.0561662,0.586
0.988,1.0213667,0.001
0.874,0.9874914,0.041
0.874,0.95458806,0.0
0.769,0.92269206,0.0
0.673,0.89182484,0.0
0.629,0.861996,0.0
0.586,0.83321244,0.12
0.469,0.8054583,0.0
0.434,0.7787195,0.0
0.369,0.75297713,0.0
0.213,0.7282089,0.0
0.174,0.7043664,0.0
0.139,0.68143296,0.146
0.096,0.6593806,0.006
0.073,0.63818336,0.018
0.054,0.6178135,0.0
0.039,0.59824276,0.0
0.022,0.57944405,0.156
0.008,0.56139207,0.57
0.003,0.54405576,0.555
0.0,0.5274025,0.216
0.0,0.52895457,10.675
0.0,0.0,3.402
0.0,0.0,0.711
0.0,0.0,1.734
0.0,0.0633958,0.0
0.0,0.18848082,0.11
0.0,0.33774933,0.0
0.0,0.49221092,0.048
0.0,0.6404779,0.0
0.0,0.7761771,0.059
0.0,0.8957007,0.0
0.0,0.9976375,0.0
0.0,1.0821226,0.102
0.0,1.1499475,0.141
0.0,1.2020758,0.0
0.0,1.2400336,0.0
0.0,1.2654508,0.0
0.0,1.2799549,0.0
0.0,1.2851025,0.0
0.0,1.2840044,1.874
1.977,1.2838784,7.882
1.245,1.5622729,9.401
1.624,2.5121062,11.243
3.335,0.0,0.554
2.711,0.0,0.086
2.597,0.0,0.107
1.624,0.23474525,0.0
1.624,0.68906623,0.165
1.542,1.2170999,0.0
1.315,1.744714,0.0
1.245,2.2300694,0.0
1.245,2.6512089,0.0
1.112,2.9989953,0.0
0.874,3.273191,0.098
0.72,3.4769151,0.0
0.629,3.6185727,0.281
0.629,3.7073092,0.59
0.469,3.747885,0.038
1.624,3.7490606,0.215
1.388,3.7172604,0.0
1.245,3.6592004,0.0
1.315,3.5807416,0.0
0.988,3.4873748,0.209
0.769,3.3828387,0.052
0.673,3.2705204,0.0
0.434,3.1534333,0.094
0.369,3.0337353,0.0
0.311,2.9133213,0.037
0.213,2.793601,0.0
0.174,2.6757002,0.0
0.109,2.5604696,0.0
0.073,2.448448,0.0
0.027,2.340112,0.002
0.027,2.2357826,0.0
0.014,2.1356573,0.0
0.008,2.0398374,0.0
0.001,1.948348,0.0
0.0,1.8611549,0.0
0.0,1.7782272,0.26
0.0,1.6993982,0.0
0.0,1.6245364,0.0
0.0,1.5534935,0.0
0.0,1.4861107,0.0
0.0,1.4222242,0.0
0.0,1.3616661,0.0
0.0,1.3042762,0.1
0.0,1.2498837,0.0
0.0,1.1983284,0.0
0.0,1.1494557,0.0
0.0,1.1031207,0.14
0.0,1.0591756,0.0
0.0,1.0174847,0.0
0.0,0.9779205,0.091
0.0,0.94036496,0.417
0.0,0.90469986,0.388
0.0,0.87082076,0.93
0.0,0.8386131,0.088
0.0,0.8079794,0.0
0.0,0.7788324,0.385
0.0,0.7510841,0.113
0.0,0.7246553,0.231
0.0,0.6994695,0.0
0.0,0.6754565,0.0
0.0,0.6525504,0.009
0.0,0.63068944,0.0
0.0,0.60981536,0.0
0.0,0.5898743,0.138
0.0,0.57081515,0.052
0.0,0.55258995,0.302
0.0,0.53515375,0.057
0.0,0.51846445,0.322
0.0,0.5024827,0.58
0.0,0.48717135,0.759
0.0,0.47249657,2.343
0.0,0.45842385,0.486
0.0,0.44492298,1.443
0.0,0.43196416,0.175
0.0,0.41952023,0.132
0.0,0.4075657,0.117
0.0,0.39607632,0.106
0.0,0.3850297,0.668
0.0,0.3744043,0.386
0.0,0.36418012,1.154
0.0,0.35433802,1.2
0.0,0.3448599,0.409
0.0,0.33572882,0.133
0.0,0.32692888,0.506
0.0,0.3184449,1.478
0.0,0.31026286,4.341
0.0,0.3023691,4.281
0.0,0.2947506,0.58
0.0,0.28739518,0.295
0.0,0.28029132,0.0
0.0,0.27342823,0.0
0.0,0.26679552,0.07
0.0,0.26038355,0.236
0.0,0.25418288,0.0
0.0,0.24818477,0.682
0.0,0.24238086,0.0
0.0,0.2367632,0.362
0.0,0.2313242,1.553
0.0,0.22605668,0.4
0.0,0.22095375,0.842
0.0,0.21600899,2.441
0.0,0.21121612,2.423
0.0,0.20656922,0.953
0.0,0.20206271,2.255
0.0,0.19769114,3.0
0.0,0.19344944,2.259
0.0,0.1896381,6.894
0.0,0.32107502,13.108
107.06,9.141711,31.528
317.86,56.41903,23.923
248.353,119.40307,17.152
76.652,108.735825,4.401
34.868,94.48623,3.876
15.072,61.70678,1.379
10.521,35.978493,0.892
7.905,23.528654,1.854
5.957,22.629236,3.622
4.855,21.480955,3.657
4.359,102.32367,30.53
7.67,65.10578,0.958
8.144,41.5451,0.927
9.958,29.713356,1.782
12.661,24.629725,2.594
10.811,46.87647,11.209
11.106,125.94522,22.613
113.749,202.89316,17.317
133.191,239.27689,12.91
154.166,219.72122,7.455
176.674,163.36855,3.006
78.052,104.200615,0.858
94.289,76.09941,2.005
23.116,60.233353,2.58
50.179,83.95389,10.732
117.17,105.05644,10.113
47.949,87.02098,3.277
27.761,60.094616,1.707
28.312,39.43922,1.49
23.604,46.50223,5.309
103.791,54.27887,6.472
27.761,40.25933,2.463
15.072,31.484953,2.813
11.712,21.108103,2.211
20.326,31.365473,9.473
39.526,80.00749,23.486
86.718,133.81287,16.297
156.149,163.16122,11.5
122.397,203.53629,13.626
189.597,298.76935,20.003
216.812,348.55255,16.033
243.361,300.35336,8.183
172.468,265.39957,7.898
166.253,252.97372,9.356
172.468,227.28331,7.353
78.052,220.76201,9.066
71.179,197.56604,6.501
63.349,160.57262,3.892
68.518,181.3067,11.811
338.037,183.3105,9.089
282.036,143.81575,3.284
411.927,149.46771,8.661
562.565,214.96611,18.537
636.588,199.4978,7.326
604.863,215.3733,11.467
798.356,183.74942,4.925
428.239,137.76637,2.724
172.468,106.27556,2.689
107.06,102.58229,4.8
89.709,89.09691,3.677
59.605,114.60833,13.297
231.104,244.79297,28.186
514.552,301.7854,16.107
624.596,356.8648,16.641
745.295,377.72116,14.709
411.927,275.70978,4.157
176.674,197.26572,2.751
108.713,182.95804,6.55
142.535,132.13725,2.17
127.737,93.3752,1.657
69.842,69.77975,2.033
45.77,68.52593,3.713
32.989,72.74794,4.919
26.679,84.92208,8.508
28.871,114.35523,13.398
194.006,131.87679,9.926
180.931,139.76593,8.275
166.253,172.18892,13.111
154.166,157.82927,5.398
103.791,144.18732,4.97
62.088,145.78012,7.849
92.749,198.06784,16.94
129.542,235.04929,13.934
172.468,232.53606,9.449
168.312,169.69363,2.339
180.931,141.13435,3.425
164.207,169.92331,12.183
86.718,339.02542,28.14
525.442,359.35135,13.872
532.765,433.1142,18.57
694.058,436.68167,14.649
418.414,474.08765,17.192
706.696,309.77405,2.671
723.724,262.5108,6.381
374.069,234.15799,6.842
156.149,215.71425,7.157
138.76,154.60199,1.942
129.542,135.50342,3.861
92.749,147.53235,9.1
361.856,103.40152,1.341
120.642,78.71059,1.932
98.983,65.23558,1.866
52.459,60.85209,2.704
52.459,53.029728,2.237
49.058,37.540794,0.949
43.835,34.926453,2.482
31.775,39.314823,3.639
26.149,41.700012,3.468
27.761,46.15497,5.552
36.159,49.27478,4.803
45.77,57.060555,8.805
57.173,78.806206,14.085
68.518,79.877686,4.131
55.975,93.4571,9.316
115.454,66.896675,0.922
64.622,49.20741,1.116
58.382,36.004402,1.14
38.837,36.692184,2.965
30.01,40.012634,3.474
24.601,26.15284,0.866
21.23,17.853592,1.27
18.597,13.195536,1.708
16.578,21.558075,9.839
14.004,20.8034,2.535
45.77,25.30563,3.629
19.449,19.5372,1.826
38.837,16.47953,2.221
43.096,7.203006,0.503
28.871,3.2715552,1.289
21.691,5.8801,3.96
18.181,8.390805,3.53
17.771,7.5703745,2.632
16.578,1.5767237,0.37
14.004,0.0,0.726
12.022,0.0,0.092
12.339,0.0,1.525
12.988,0.0,0.529
8.144,0.0,0.544
8.144,0.0,1.403
7.215,0.12412905,3.169
6.566,0.0,1.226
6.156,0.0,0.665
5.957,0.0,1.183
5.957,0.0,0.164
5.573,0.0,0.801
5.387,0.0,0.361
5.205,0.0,1.287
4.855,0.0,0.673
4.359,0.0,2.555
4.359,0.0,1.551
4.047,0.0,0.663
4.047,0.0,1.914
4.359,0.0,2.724
4.52,0.0726159,3.805
4.52,0.0,1.058
4.52,0.0,0.351
5.028,0.0,0.108
5.205,0.0,0.105
5.028,0.0,0.154
4.855,0.0,0.884
4.685,0.0,1.756
4.52,0.0,0.879
4.201,0.0,0.362
4.201,0.0,0.38
3.897,0.0,0.759
3.897,0.0,1.178
3.897,0.0,0.348
3.751,0.0,1.807
3.751,0.021631427,6.668
3.751,0.1654211,3.502
3.751,0.0,0.781
3.609,0.0,1.493
3.897,0.0,0.24
3.751,0.0,0.245
3.751,0.0,0.289
3.897,0.0,1.11
4.201,0.0,1.604
4.047,0.0,1.345
3.897,0.0,0.631
3.897,0.0,0.488
3.751,0.0,0.013
3.47,0.0,0.832
3.47,0.0,0.0
3.47,0.0,0.067
3.47,0.0,0.142
3.335,0.0,0.59
3.335,0.0,0.002
3.203,0.0,0.048
2.951,0.0,0.016
2.711,0.0,0.0
2.951,0.0,0.0
2.829,0.0,0.0
2.829,0.0,0.0
2.711,0.0,0.004
2.597,0.0,0.008
2.486,0.0,0.031
2.486,0.0,0.491
2.486,0.0,0.205
2.378,0.0,0.266
2.378,0.0,0.0
2.378,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.042
2.273,0.0,0.0
2.171,0.0,0.25
2.171,0.0,0.0
2.171,0.0,0.0
2.072,0.0,0.0
2.072,0.0,0.0
1.977,0.0,0.027
1.884,0.0,0.0
1.884,0.0,0.0
1.884,0.0,0.0
1.884,0.0,0.372
1.884,0.0,0.0
1.794,0.0,0.0
1.794,0.0,0.185
1.794,0.0,0.0
1.794,0.0,0.031
1.794,0.0,0.0
1.624,0.0,0.0
1.624,0.0,0.307
1.624,0.0,0.889
1.624,0.0,0.057
1.624,0.0,0.0
1.464,0.0,0.0
1.464,0.0,0.0
1.464,0.0,0.034
1.464,0.0,0.147
1.464,0.0,0.5
1.177,0.0,0.0
1.177,0.0,0.015
1.245,0.0,0.0
1.315,0.0,0.258
1.315,0.0,0.294
1.315,0.0,0.034
1.315,0.0,0.386
1.245,0.0,2.068
1.245,0.0,0.915
1.177,0.0,0.832
1.177,0.0,0.0
1.177,0.0,0.0
1.177,0.0,0.0
1.177,0.0,0.242
1.177,0.0,0.0
1.177,0.0,0.0
1.112,0.0,0.0
1.112,0.0,0.0
