vazao,vazao_calc,chuva_media
0.0,0.50384176,0.95
0.0,0.48754737,0.372
0.0,0.47189182,1.259
0.0,0.45684537,1.07
0.0,0.4423785,0.287
0.0,0.4284647,0.207
0.0,0.415081,0.82
0.0,0.40220705,2.637
0.0,0.38982344,4.866
0.0,0.37821367,7.516
0.0,0.0,1.881
0.0,0.0,0.598
0.0,0.0,0.11
0.0,0.0,0.044
0.0,0.0,0.252
0.0,0.0,0.996
0.0,0.0,0.0
0.0,0.0,0.319
0.0,0.00027921068,0.0
0.0,0.0013952078,0.478
0.0,0.0025554288,1.339
0.0,0.0037071432,0.299
0.0,0.0048267934,0.421
0.0,0.005938478,2.649
0.0,0.0070191976,2.113
0.0,0.008041234,1.18
0.0,0.009009559,1.867
0.0,0.009939495,3.046
0.0,0.010836148,3.604
0.0,0.016722707,13.265
0.0,0.16344692,14.878
107.06,34.41804,50.245
317.86,129.13414,28.158
248.353,292.58383,28.26
76.652,207.94785,2.15
34.868,150.63788,2.201
15.072,103.6802,1.389
10.521,64.31897,0.429
7.905,41.974033,1.377
5.957,28.737324,2.074
4.855,21.848164,2.924
4.359,72.31078,20.082
7.67,50.122944,1.81
8.144,35.02965,1.739
9.958,29.955256,3.271
12.661,17.616398,1.166
10.811,26.38689,7.679
11.106,105.48567,25.555
113.749,219.31194,23.069
133.191,348.6453,22.36
154.166,498.04626,23.839
176.674,407.16235,7.172
78.052,280.9935,1.655
94.289,202.01,1.971
23.116,146.30237,1.824
50.179,137.09906,5.816
117.17,191.41914,15.433
47.949,159.48091,4.133
27.761,113.343155,1.506
28.312,88.76401,2.722
23.604,125.48408,13.384
103.791,115.2221,5.001
27.761,80.71815,1.405
15.072,69.87232,3.735
11.712,61.209236,3.789
20.326,106.401505,16.613
39.526,233.6224,26.276
86.718,245.68726,10.868
156.149,218.35788,6.363
122.397,219.16826,9.331
189.597,342.36398,22.932
216.812,429.935,19.267
243.361,359.9055,6.931
172.468,332.38327,9.181
166.253,296.93417,7.689
172.468,248.1992,5.137
78.052,229.28252,7.364
71.179,231.88055,9.689
63.349,204.82353,5.807
68.518,311.7637,21.683
338.037,319.58643,11.785
282.036,269.97928,5.781
411.927,325.3242,16.116
562.565,502.23724,26.59
636.588,433.8035,9.018
604.863,366.6458,7.334
798.356,320.42557,7.517
428.239,248.23279,3.537
172.468,196.09254,3.397
107.06,169.90001,4.654
89.709,147.81363,4.441
59.605,143.1455,6.734
231.104,269.86276,25.513
514.552,270.99594,10.268
624.596,284.27457,11.658
745.295,285.73764,10.597
411.927,238.7513,4.98
176.674,179.32121,2.4
108.713,175.56456,7.616
142.535,159.3822,5.557
127.737,113.74684,1.356
69.842,79.14766,1.09
45.77,62.84899,2.215
32.989,51.977566,2.58
26.679,55.900627,5.563
28.871,108.34926,18.26
194.006,133.72008,10.931
180.931,127.70188,5.56
166.253,153.47504,11.238
154.166,135.85463,4.174
103.791,113.88214,3.204
62.088,101.48339,3.85
92.749,160.01862,17.586
129.542,177.71523,10.293
172.468,164.49785,5.782
168.312,121.39383,1.493
180.931,91.080605,1.642
164.207,102.09195,8.121
86.718,252.4779,29.421
525.442,277.3276,12.078
532.765,312.8173,13.554
694.058,310.10233,10.244
418.414,321.47763,11.651
706.696,241.89255,2.541
723.724,192.31012,3.101
374.069,168.0673,4.443
156.149,171.58237,8.122
138.76,134.41963,2.409
129.542,107.34226,2.495
92.749,104.65145,5.445
361.856,87.45311,2.936
120.642,77.528824,3.508
98.983,64.15818,2.119
52.459,50.966755,1.699
52.459,37.78663,1.171
49.058,24.21065,0.374
43.835,18.30516,1.582
31.775,24.036398,5.948
26.149,21.019869,2.393
27.761,23.408283,3.897
36.159,26.897099,4.793
45.77,39.9285,10.142
57.173,54.21863,9.531
68.518,48.252445,2.71
55.975,55.81681,6.799
115.454,39.151966,0.734
64.622,25.925718,0.581
58.382,17.686966,1.052
38.837,12.714647,1.517
30.01,10.205594,2.083
24.601,6.2778516,1.314
21.23,2.5406597,0.771
18.597,0.39777893,0.662
16.578,0.3636007,2.672
14.004,0.010242821,1.718
45.77,0.5820002,5.465
19.449,0.0929872,1.807
38.837,0.0,0.845
43.096,0.0,0.313
28.871,0.0,0.879
