vazao,vazao_calc,chuva_media
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.597
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.219
0.393,0.0,0.0
0.393,0.0,0.0
0.234,0.0,0.0
0.172,0.042991154,0.0
0.12,0.1948549,0.0
0.047,0.40538797,0.0
0.024,0.6357882,0.0
0.0,0.8595734,0.0
0.0,1.0602463,0.0
0.0,1.2289053,0.0
0.393,1.3620934,0.0
0.393,1.4600142,0.0
0.393,1.5251405,0.0
0.393,1.5611868,0.0
0.234,1.572396,0.0
0.12,1.5630666,0.0
0.12,1.5372617,0.0
0.0,1.499287,0.0
0.0,1.453464,0.798
0.0,1.4007853,0.05
0.393,1.3436077,0.206
0.234,1.2833959,0.0
0.234,1.2216121,0.0
0.234,1.1594201,0.0
0.024,1.0978385,0.148
0.079,1.0374242,0.0
0.599,0.979526,1.463
0.721,0.92534083,3.669
1.005,0.89076805,10.541
1.74,0.0,2.292
0.857,0.0,0.011
1.005,0.0,0.017
1.005,0.0052156057,0.005
1.535,0.018179605,0.189
0.857,0.034875393,0.47
0.721,0.05322353,0.158
0.721,0.072316624,1.697
1.005,0.091120064,1.51
4.278,0.10894977,1.55
2.195,0.12476424,0.0
1.005,0.13858375,0.766
0.857,0.1508171,2.36
1.344,0.16068381,0.03
0.857,0.16832961,0.146
0.599,0.17416795,1.132
0.393,0.17860888,2.284
0.12,0.18126091,0.0
0.49,0.18234615,0.0
0.857,0.18211937,0.0
0.857,0.1808697,0.618
0.857,0.17867817,0.076
0.721,0.17574367,0.374
0.857,0.17250153,3.141
0.857,0.16908716,3.989
0.857,0.16515315,0.0
0.721,0.16083178,0.206
0.721,0.1562026,0.0
0.721,0.15135235,0.0
0.857,0.14635444,0.0
0.857,0.14129709,0.522
0.857,0.13627085,1.573
0.857,0.13189192,7.408
1.005,0.15254416,4.94
0.857,0.014408235,4.066
0.599,0.0067905555,4.68
0.599,0.0,2.187
1.96,0.0,1.295
1.96,0.0,0.593
1.344,0.0,2.171
1.005,0.0007688579,0.688
0.857,0.0032926388,2.161
6.263,0.01195155,13.057
3.289,0.19419257,15.308
2.992,0.13327676,3.992
2.445,0.0,0.207
1.96,0.0,0.0
1.535,0.0,1.78
0.857,0.0,4.183
0.857,0.15381832,10.443
0.721,0.91779417,11.213
0.234,1.598222,5.085
0.0,0.6243388,2.519
0.0,0.30169085,3.141
0.0,0.73167384,5.108
0.0,0.018817043,1.891
0.0,0.15843292,4.522
0.0,0.95736533,11.114
0.0,2.0543332,7.477
0.0,3.6100314,7.829
0.0,4.9496617,6.099
0.0,9.735975,13.452
0.0,14.777019,10.662
3.289,16.143312,6.035
0.857,10.33877,2.094
0.0,11.095463,4.639
0.0,17.687756,12.441
0.0,14.856134,3.594
0.0,17.79795,7.891
1.535,25.701826,12.265
2.195,16.25676,1.833
2.445,14.519209,3.862
2.195,12.564899,3.644
0.393,6.075572,0.999
0.0,2.4120653,1.147
0.0,0.2326734,0.546
0.0,0.04039496,2.684
0.0,0.0,0.39
0.0,0.0,2.005
0.0,0.23574655,6.163
0.0,0.81765354,4.871
0.0,0.3584276,2.424
0.0,0.0,0.746
0.0,0.6060641,10.568
0.0,1.521471,5.359
0.0,0.50878733,1.807
0.0,1.3162518,5.345
0.0,3.3832273,9.125
0.0,2.001324,2.167
0.0,1.0898254,2.264
0.0,0.3598919,2.032
0.0,2.0010402,10.182
0.0,3.0083585,4.267
0.0,4.7343016,6.431
22.543,10.993272,14.051
20.375,18.540434,11.762
97.681,39.018967,18.141
88.27,40.414402,7.547
32.498,31.330038,3.171
27.26,53.427143,16.681
74.837,84.009155,18.192
242.848,166.57999,28.353
185.045,164.57782,15.726
83.7,146.15468,12.522
70.546,80.82951,1.241
0.0,46.87897,0.751
0.0,27.699583,0.62
0.0,24.041565,3.474
0.0,24.945478,5.159
0.0,25.97828,5.497
0.0,33.468777,9.404
0.0,38.53117,8.641
0.0,31.135517,3.458
0.0,31.823515,6.359
0.0,44.824295,12.829
0.0,59.070168,13.217
0.0,120.22523,25.5
0.0,150.94125,19.204
0.0,113.98878,7.661
0.0,123.774,14.524
0.0,143.70561,17.007
0.0,87.70858,2.785
0.0,75.1462,6.997
88.27,89.000565,13.21
0.0,81.40797,8.59
0.0,60.57165,3.946
0.0,43.575542,2.89
7.664,29.801394,1.995
6.263,27.154444,4.104
2.71,23.750637,3.684
1.96,18.352823,2.681
1.74,19.070852,4.913
0.0,18.816454,4.295
0.0,12.471173,1.798
0.0,11.667968,3.595
0.0,18.778143,11.495
0.0,27.784737,11.792
0.0,30.107487,7.348
0.0,32.67698,7.779
0.0,37.57706,8.678
0.0,46.874958,10.987
0.0,65.59586,14.557
0.0,60.2229,6.805
0.0,61.3446,8.638
0.0,48.328484,3.374
0.0,53.40957,9.292
0.0,42.07036,3.092
68.856,42.973103,7.034
0.0,53.7306,11.411
0.0,52.284454,7.101
0.0,55.294525,8.761
0.0,37.902653,1.658
0.0,33.007915,3.494
0.0,23.20471,1.507
0.0,17.596321,1.902
0.0,10.718086,0.618
0.0,6.709111,0.949
0.0,4.5981336,1.447
0.0,7.848498,6.84
0.0,9.179541,3.785
0.0,9.0250845,3.014
0.0,4.199443,0.175
0.0,1.5890735,0.413
0.0,0.7470257,1.425
0.0,0.10511135,1.016
0.0,0.068051636,2.32
0.0,0.0,1.683
0.0,0.0,2.153
0.0,0.0,2.038
0.0,0.12084579,4.452
0.0,1.4217803,10.921
0.0,2.9221566,5.962
0.0,1.0451176,0.722
3.289,0.0069226236,0.0
0.0,0.0,0.143
0.0,0.0,0.07
0.0,0.0,0.0
0.0,0.0,0.594
0.0,0.0,0.0
0.0,0.0,0.234
0.0,0.0,0.243
0.0,0.0,0.33
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.232
0.0,0.0,2.574
0.0,0.0,0.086
0.0,0.0,0.0
0.0,0.0,0.302
0.0,0.0,0.05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.418
0.0,0.0,0.285
0.0,0.0,1.408
0.0,0.0,0.395
0.0,0.0,2.353
0.0,0.0,1.275
0.0,0.016156847,5.54
0.0,0.0,0.381
0.0,0.0,0.396
0.0,0.0,0.232
0.0,0.012353106,4.392
0.0,0.0,1.002
0.0,0.0,0.071
0.0,0.0,0.052
0.0,0.0,0.257
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.123
0.0,0.0,2.67
0.0,0.0,0.0
0.0,0.0,0.197
0.0,0.0,0.241
0.0,0.0,0.0
0.0,0.0,1.102
0.0,0.0,0.124
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.337
0.0,0.0,0.098
0.0,0.0,0.0
0.0,0.0,0.424
0.0,0.0,0.059
0.0,0.0,0.014
1.96,0.0,0.239
1.96,0.0,1.422
1.74,0.0,0.765
0.393,0.0,0.43
0.393,0.0,0.604
0.393,0.0,2.07
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.051
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.145
0.0,0.0,5.528
0.0,0.0,4.323
0.0,0.0,7.434
0.0,0.0,0.119
0.0,0.0,0.512
0.0,0.0,0.12
0.0,0.0,0.293
0.0,0.068879105,20.351
0.0,0.36570647,5.637
0.0,0.0,0.237
0.0,0.0,1.924
0.0,0.0,2.236
